E 12.75
T 9.25
R 8.5
I 7.75
N 7.75
O 7.5
A 7.25
S 6
D 4.25
L 3.75
C 3.5
H 3.5
U 3
F 3
M 2.75
P 2.75
Y 2.25
G 2
W 1.5
V 1.5
B 1.5
Q 0.5
K 0.5
X 0.5
J 0.25
Z 0.25

251 G

145 T
132 m
111 Z
108 j
103 t
102 J
87 o
84 v
68 S
55 P
42 F
40 D
35 h
34 R
27 .
25 C
24 O
19 W
18 u
17
15 p
13 Y
12 r
9 z
8 B
6 w
5 q
4 a
4 U
4 K
3 k
3 L
3 A
2 g
2 f
2 b
2 I
2 ,
1 s
1 e
1 X
1 V
0
0 ~
0 }
0 |
0 {
0 y
0 x
0 n
0 l
0 i
0 d
0 c
0 `
0 _
0 ^
0 ]
0 \
0 [
0 Q
0 N
0 M
0 H
0 E
0 @
0 ?
0 >
0 =
0 <
0 ;
0 :
0 9
0 8
0 7
0 6
0 5
0 4
0 3
0 2
0 1
0 0
0 /
0 -
0 +
0 *
0 )
0 (
0 '
0 &
0 %
0 $
0 #
0 "
0 !

